Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-750,Selection Criteria Description,Text,No,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",CM,III.1.2.2,Minimum level(s) of standards possibly required,7,1
++,BT-750,Selection Criteria Description,Text,No,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",CM,III.1.3.2,Minimum level(s) of standards possibly required,7,1
++,BT-40,Selection Criteria Second Stage Invite,Indicator,No,The criteria (or criterion) will (only) be used to select the candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).,O,new term overall,,7,1
+++,BT-752,Selection Criteria Second Stage Invite Number,Number,No,A number linked to the selection criteria (or criterion).,O,new term overall,,7,1
+++,BT-7531,Selection Criteria Second Stage Invite Number Weight,Code,No,Whether the number linked to a selection criterion (or selection criteria) is a type of weight (e.g. a percentage).,O,new term overall,,7,1
+++,BT-7532,Selection Criteria Second Stage Invite Number Threshold,Code,No,"Whether the number linked to a selection criterion (or selection criteria) is a type of threshold (e.g. a minimum score, a maximum number of tenders with the highest score passing).",O,new term overall,,7,1
++,BT-1379,Requirements Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the other requirements section refer this lot (or part) or these lots (or parts).",CM,new term overall,,7,1
++,BT-71,Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",M,III.1.5.1,The contract is reserved to sheltered workshops and economic operators aiming at the social and professional integration of disabled or disadvantaged persons,7,1
++,BT-79,Performing Staff Qualification,Code,No,Whether the names and professional qualifications of the staff assigned to perform the contract must be given.,O,III.2.3,Information about staff responsible for the performance of the contract,7,1
++,BT-578,Security Clearance,Indicator,No,A security clearance is required.,O,new term overall,,7,1
++,BT-78,Security Clearance Deadline,Date,No,The time limit by which tenderers who do not hold a security clearance may obtain it.,O,new term,,7,1
++,BT-732,Security Clearance Description,Text,No,"Additional information about the security clearance (e.g. which level of security clearance is required, which team members must have it, whether it is necessary already for accessing the procurement documents or only for contract execution).",O,new term overall,,7,1
++,BT-13717,Terms Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the contract terms section refer this lot (or part) or these lots (or parts).",CM,new term overall,,7,1
++,BT-736,Reserved Execution,Code,No,Whether the execution of the contract must be performed in the framework of sheltered employment programmes.,M,III.1.5.2,The execution of the contract is restricted to the framework of sheltered employment programmes,7,1
++,BT-761,Tenderer Legal Form,Indicator,No,A certain legal form must be taken by a group of tenderers that is awarded a contract.,O,new term,,7,1
++,BT-76,Tenderer Legal Form Description,Text,No,The legal form that must be taken by a group of tenderers that is awarded a contract.,O,new term,,7,1
++,BT-70,Terms Performance,Text,No,"The main information about the performance of the contract (e.g. intermediary deliverables, compensation for damages, intellectual property rights).",O,III.2.2,Contract performance conditions,7,1
++,BT-92,Electronic Ordering,Indicator,No,Electronic ordering will be used.,O,VI.2.1,Electronic ordering will be used,7,1
++,BT-77,Terms Financial,Text,No,The main information about financing and payment and/or reference to any provisions that govern them.,O,new term,,7,1
++,BT-743,Electronic Invoicing,Code,No,"Whether the buyer will require, allow or not allow electronic invoices.",O,VI.2.2,Electronic invoicing will be accepted,7,1
++,BT-93,Electronic Payment,Indicator,No,Electronic payment will be used.,O,VI.2.3,Electronic payment will be used,7,1
++,BT-13710,Award Criteria Lot Identifier,Identifier,Yes,"An identifier of one or more lots or one or more groups of lots. The information in the award criteria section refers to this lot, these lots, this group, or these groups.",CM,II.2.1.1,Lot no,7,1
+++,BT-539,Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.1,Quality criterion – Name: / Weighting:,7,1
+++,BT-539,Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.2,Cost criterion – Name: / Weighting:,7,1
+++,BT-539,Award Criterion Type,Code,No,"Whether the criterion concerns the price, the cost, or a non-price non-cost attribute of the tender. (Price is the acquisition price; cost is any other non-price monetary criterion.)",O,II.2.5.1.3,Price – Weighting,7,1
+++,BT-734,Award Criterion Name,Text,No,The name of the award criterion.,O,II.2.5.1.1,Quality criterion – Name: / Weighting:,7,1
+++,BT-734,Award Criterion Name,Text,No,The name of the award criterion.,O,II.2.5.1.2,Cost criterion – Name: / Weighting:,7,1
+++,BT-540,Award Criterion Description,Text,No,The description of the award criterion.,O,new term,,7,1
++++,BT-541,Award Criterion Number,Number,No,A number linked to an award criterion.,O,new term,,7,1
++++,BT-5421,Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.1,Quality criterion – Name: / Weighting:,7,1
++++,BT-5421,Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.2,Cost criterion – Name: / Weighting:,7,1
++++,BT-5421,Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.3,Price – Weighting,7,1
