Label,Set,Comment,EN,FR,DE,BG,CS,DA,EL,ES,ET,FI,GA,HR,HU,IT,LT,LV,MT,NL,PL,PT,RO,SK,SL,SV,bb,cc,dd
dc_awarded_to_winner,,,Any service contract following the contest will be awarded to the winner or winners of the contest,Le(s) lauréat(s) du concours sera/seront attributaire(s) des marchés de services faisant suite au concours,Ein Dienstleistungsauftrag infolge des Wettbewerbs wird an den/die Gewinner des Wettbewerbs vergeben,Всяка поръчка за услуги след провеждането на конкурса ще бъде възложена на спечелилия или на спечелилите конкурса,Zakázky na služby navazující na soutěž budou zadány vítězi nebo vítězům soutěže,"Enhver tjenesteydelseskontrakt, der tildeles som følge af konkurrencen, vil gå til vinderen eller vinderne af konkurrencen",Οποιεσδήποτε συμβάσεις υπηρεσιών που έπονται του διαγωνισμού θα ανατεθούν στον νικητή ή τους νικητές του διαγωνισμού,Los contratos de servicios subsiguientes al concurso se adjudicarán al ganador o ganadores del concurso,Ideekonkursile järgnev mis tahes teenuste hankeleping sõlmitakse ideekonkursi võitjaga või ühega võitjatest,Kilpailua seuraava palvelusopimus tehdään kilpailun voittajan tai yhden voittajista kanssa,Dámhfar aon chonradh seirbhíse tar éis an chomórtais don bhuaiteoir nó do cheann de bhuaiteoirí an chomórtais,Svi ugovori o uslugama nakon provedenog natječaja sklopit će se s dobitnikom ili jednim od dobitnika natječaja,A tervpályázati eljárást követően a szolgáltatás megrendelésére irányuló szerződést a pályázat nyertesével vagy a nyertesek valamelyikével kötik meg,"Successivamente al concorso, gli autori dei progetti premiati avranno diritto all'attribuzione di appalti di servizi",Pasibaigus konkursui bus sudaryta viešojo paslaugų pirkimo sutartis su konkurso laimėtoju ar vienu iš laimėtojų,Pakalpojumu līguma slēgšanas tiesības pēc konkursa tiks piešķirtas konkursa uzvarētājam vai vienam no uzvarētājiem,Kwalunkwe kuntratt ta' servizz wara l-konkors se jingħata lir-rebbieħ jew rebbieħa tal-konkors,Dienstenovereenkomsten naar aanleiding van de prijsvraag worden aan de winnaar of winnaars van de prijsvraag gegund,Wszelkie zamówienia na usługi następujące po konkursie zostaną udzielone zwycięzcy lub jednemu ze zwycięzców konkursu,Qualquer contrato de serviços na sequência do concurso será adjudicado ao vencedor ou a um dos vencedores do concurso,Eventualul contract de servicii rezultat în urma concursului va fi atribuit câștigătorului sau câștigătorilor concursului,"Všetky zákazky na služby, ktoré budú nasledovať po súťaži, budú pridelené víťazovi alebo víťazom súťaže",Naročilo storitev na podlagi natečaja bo dodeljeno zmagovalcu ali zmagovalcem natečaja,Eventuella tjänstekontrakt som följer på projekttävlingen kommer att tilldelas vinnaren eller vinnarna i projekttävlingen,,,
dc_contracts_followup,,,Follow-up contracts,Contrats faisant suite au concours,Folgeaufträge,Последващи поръчки,Navazující zakázky,Opfølgende kontrakter,Συμβάσεις που έπονται του διαγωνισμού,Contratos complementarios,Jätkuleping,Jatkosopimukset,Conarthaí leantacha,Dodatni ugovori nakon provedenog natječaja,A tervpályázati eljárást követő szerződések,Appalti complementari,Paskesnės sutartys,Turpmākie līgumi,Kuntratti ta’ segwitu,Vervolgopdrachten,Zamówienia po konkursie,Contratos complementares,Contracte subsecvente,Nadväzujúce zákazky,Naročila po natečaju,Följdkontrakt,,,
dc_criteria_evaluation,,,Criteria for the evaluation of projects,Critères d'évaluation des projets,Kriterien für die Bewertung der Projekte,"Критерии, прилагани при оценяването на проектите",Kritéria pro hodnocení projektů,Kriterier for vurdering af projekter,Κριτήρια αξιολόγησης των μελετών,Criterios aplicables a la evaluación de los proyectos,Projektide hindamise kriteeriumid,Hankkeiden arviointiperusteet,Critéir maidir le meastóireacht a dhéanamh ar na tionscadail,Kriteriji za ocjenjivanje projekata,A pályaművek értékelésének szempontjai,Criteri da applicare alla valutazione dei progetti,Projektų vertinimo kriterijai,Projektu vērtēšanas kritēriji,Kriterji għall-evalwazzjoni ta' proġetti,Criteria voor de beoordeling van ontwerpen,Kryteria oceny projektów,Critérios para a avaliação dos projetos,Criterii de evaluare a proiectelor,"Kritériá, ktoré sa uplatnia pri vyhodnocovaní projektov",Merila za ocenjevanje projektov,Kriterier som kommer att tillämpas vid bedömningen av projekten,,,
dc_date_decision,,,Date of the jury decision,Date de la décision du jury,Datum der Entscheidung des Preisgerichts,Дата на решението на журито,Datum rozhodnutí poroty,Dato for bedømmelsesudvalgets afgørelse,Ημερομηνία έκδοσης της απόφασης της κριτικής επιτροπής,Fecha de la decisión del jurado,Žürii otsuse kuupäev,Valintalautakunnan päätöksen päivämäärä,Dáta chinneadh an ghiúiré,Datum odluke ocjenjivačkog suda,A bírálóbizottság döntésének dátuma,Data di decisione della commissione giudicatrice,Vertinimo komisijos sprendimo data,Žūrijas lēmuma datums,Id-data tad-deċiżjoni tal-ġurati,Datum van het besluit van de jury,Data decyzji sądu konkursowego,Data da decisão do júri,Data deciziei juriului,Dátum rozhodnutia poroty,Datum odločitve žirije,Datum för juryns beslut,,,
dc_decision_binding,,,The decision of the jury is binding on the contracting authority/entity,La décision du jury est contraignante pour le pouvoir adjudicateur/l'entité adjudicatrice,Die Entscheidung des Preisgerichts ist für den öffentlichen Auftraggeber/den Auftraggeber bindend,Решението на журито е задължително за възлагащия орган/възложителя,Rozhodnutí poroty je pro veřejného zadavatele/zadavatele závazné,Bedømmelseskomitéens afgørelse er bindende for den ordregivende myndighed/enhed,Η απόφαση της κριτικής επιτροπής είναι δεσμευτική για την αναθέτουσα αρχή/τον αναθέτοντα φορέα,La decisión del jurado es vinculante para el poder adjudicador/la entidad adjudicadora,Kas ideekonkursi žürii otsus on hankijale/võrgustiku sektori hankijale kohustuslik,Valintalautakunnan päätös sitoo hankintaviranomaista/-yksikköä,Tá cinneadh an ghiúiré ceangailteach ar an údarás/aonán conarthachta,Odluka ocjenjivačkog suda obvezujuća je za javnog naručitelja/naručitelja.,A bírálóbizottság döntése kötelező az ajánlatkérő számára,La decisione della commissione giudicatrice è vincolante per l'amministrazione aggiudicatrice/ente aggiudicatore,Vertinimo komisijos sprendimas yra privalomas perkančiajai organizacijai ar perkančiajam subjektui,Žūrijas lēmums līgumslēdzējai iestādei/līgumslēdzējam ir saistošs,Id-deċiżjoni tal-ġurija hija vinkolanti għall-awtorità/entità kontraenti,De beslissing van de jury is bindend voor de aanbestedende dienst/instantie,Decyzja sądu konkursowego jest wiążąca dla instytucji zamawiającej/podmiotu zamawiającego,A autoridade/entidade adjudicante está vinculada à decisão do júri,Decizia juriului este obligatorie pentru autoritatea/entitatea contractantă,Rozhodnutie poroty je pre verejného obstarávateľa/obstarávateľa záväzné,Odločitev žirije je za naročnika zavezujoča,Juryns beslut är bindande för den upphandlande myndigheten/enheten,,,
dc_decision_jury,,,Decision of the jury,Décision du jury,Entscheidung des Preisgerichts,Решение на журито,Rozhodnutí poroty,Bedømmelseskomitéens afgørelse,Απόφαση της κριτικής επιτροπής,Decisión del jurado,Žürii otsus,Valintalautakunnan päätös,Cinneadh an ghiúiré,Odluka ocjenjivačkog suda,A bírálóbizottság döntése,Decisione della commissione giudicatrice,Vertinimo komisijos sprendimas,Žūrijas lēmums,Deċiżjoni tal-ġurija,Beslissing van de jury,Decyzja sądu konkursowego,Decisão do júri,Decizia juriului,Rozhodnutie poroty,Odločitev žirije,Juryns beslut,,,
dc_details_payment,,,Details of payments to all participants,Détail des paiements à verser à tous les participants,Angaben zu Zahlungen an alle Teilnehmer,Подробности относно плащанията за всички участници ,Údaje o platbách všem účastníkům,Nærmere oplysninger om betalinger til alle deltagere,Λεπτομέρειες για πληρωμές προς όλους τους συμμετέχοντες,Información sobre pagos a los participantes,Kõigile osalejatele tehtavate maksete üksikasjad,Kaikille osallistujille suoritettavia maksuja koskevat tiedot,Sonraí na n-íocaíochtaí leis na rannpháirtithe uile,Podaci o isplatama svim sudionicima,Az összes pályázónak történő kifizetésekre vonatkozó adatok,Particolari relativi ai pagamenti ai partecipanti,Išsami informacija apie mokėjimus visiems dalyviams,Informācija par maksājumiem visiem dalībniekiem,Dettalji tal-pagamenti lill-parteċipanti kollha,Nadere gegevens inzake vergoedingen aan alle deelnemers,Szczegóły dotyczące płatności dla wszystkich uczestników,Informação sobre os pagamentos a todos os participantes,Detalii privind plățile către toți participanții,Podrobné údaje o platbách všetkým uchádzačom,Podatki o izplačilih za vse udeležence,Närmare uppgifter om eventuell ersättning till samtliga deltagare,,,
dc_indicate_profession,,,Indicate profession,Indiquer la profession,Beruf angeben,Посочете професията,Uveďte profesi,Angiv professionen,Δηλώστε την επαγγελματική κατηγορία,Indíquese la profesión,Nimetada kutseala,Ilmoittakaa ammatti,Luaigh gairm,Navesti struku,nevezze meg az adott szakmát,Indicare la professione,Nurodykite profesiją,Norādīt profesiju,indika l-professjoni,Beroepsgroep,Proszę określić zawód,Indicar a profissão,A se indica profesia,Uveďte profesiu,Navedite stroko,Ange yrkesgrupp,,,
dc_name_winner,,,Name(s) and address(es) of the winner(s) of the contest,Nom(s) et adresse(s) du/des lauréat(s) du concours,Namen und Adressen der Gewinner des Wettbewerbs,Име/на и адрес/и на спечелилия/те конкурса,Název a adresa vítěze (vítězů) soutěže,Navn(e) og adresse(r) på vinderen/vinderne af konkurrencen,Όνομα και διεύθυνση του νικητή ή των νικητών του διαγωνισμού,Nombre y dirección del ganador o los ganadores del concurso,Ideekonkursi võitja(te) nimi/nimed ja aadress(id),Kilpailun voittajan (voittajien) nimi (nimet) ja osoite (osoitteet),Ainm(neacha) agus seoladh/seoltaí bhuaiteoir(í) an chomórtais,Naziv(i) i adresa(-e) pobjednika natječaja,A tervpályázat nyertesének/nyerteseinek (díjazottak) neve és címe,Nomi e indirizzi dei vincitori del concorso,Konkurso laimėtojo (-ų) pavadinimas (vardas (-ai) ir pavardė (-ės)) bei adresas (-ai),Konkursa uzvarētāja(-u) vārds(-i)/nosaukums(-i) un adrese(-es),Isem/ismijiet u indirizz(i) tar-rebbieħ(a) tal-konkors,Naam/namen en adres(sen) van de winnaar(s) van de prijsvraag,Nazwy i adresy zwycięzców konkursu,Nome(s) e endereço(s) do(s) vencedor(es) do concurso,Numele și adresa (adresele) câștigătorului (câștigătorilor) concursului,Meno (mená) a adresa (adresy) víťaza (víťazov) súťaže,Imena in naslovi zmagovalcev natečaja,Namn och adress(er) för vinnaren eller vinnarna i projekttävlingen,,,
dc_names_jury,,,Names of the selected members of the jury,Noms des membres du jury sélectionnés,Namen der ausgewählten Preisrichter,Имена на избраните членове на журито ,Jména vybraných členů poroty,Navne på de udpegede medlemmer af bedømmelseskomitéen,Ονόματα των επιλεγέντων μελών της κριτικής επιτροπής,Nombre de los miembros del jurado que hayan sido seleccionados,Ideekonkursi žürii liikmete nimed,Valintalautakunnan jäsenten nimet,Ainmneacha bhaill roghnaithe an ghiúiré,Imena odabranih članova ocjenjivačkog suda,A bírálóbizottság tagjainak neve,Nomi dei membri della commissione giudicatrice selezionati,Atrinktų vertinimo komisijos narių vardai ir pavardės,Izvēlēto žūrijas locekļu vārdi,Ismijiet tal-membri magħżula tal-ġurija,Namen van de geselecteerde juryleden,Imiona i nazwiska wybranych członków sądu konkursowego,Nome dos membros do júri escolhidos,Numele membrilor juriului selectați,Mená vybraných členov poroty,Imena izbranih članov žirije,Namn på valda juryledamöter,,,
dc_names_selected,,,Names of participants already selected,Noms des participants déjà sélectionnés,Namen der bereits ausgewählten Teilnehmer,Имена на вече избрани участници,"Jména účastníků, kteří již byli vybráni",Navne på allerede udvalgte deltagere,Ονόματα συμμετεχόντων που έχουν ήδη επιλεγεί,Nombre de los participantes ya seleccionados,Juba valitud osalejate nimed,Jo valittujen osallistujien nimet,Ainmneacha na rannpháirtithe arna roghnú cheana,Imena već odabranih sudionika,A már kiválasztott résztvevők neve,Nominativi dei partecipanti già selezionati,Jau atrinktų dalyvių pavadinimai (vardai ir pavardės),Jau atlasīto dalībnieku vārdi/nosaukumi,Ismijiet tal-parteċipanti diġà magħżula,Namen van reeds geselecteerde deelnemers,Nazwy uczestników już zakwalifikowanych,Nomes dos participantes já selecionados,Numele participanților deja selectați,Mená vopred vybraných uchádzačov,Imena že izbranih udeležencev,Namn på de deltagare som redan utsetts,,,
